iter	Passed	Remaining
402	12332	31122
403	12363	31092
404	12394	31061
405	12424	31031
406	12453	30997
407	12484	30965
408	12516	30938
409	12547	30910
410	12579	30881
411	12610	30852
412	12639	30818
413	12669	30785
414	12699	30754
415	12729	30722
416	12760	30691
417	12791	30662
418	12820	30627
419	12849	30593
420	12881	30566
421	12909	30530
422	12941	30501
423	12971	30470
424	12999	30434
425	13028	30400
426	13058	30367
427	13087	30334
428	13118	30304
429	13149	30275
430	13180	30245
431	13210	30212
432	13241	30182
433	13271	30151
434	13302	30122
435	13334	30094
436	13366	30066
437	13395	30032
438	13426	30003
439	13457	29973
440	13486	29940
441	13521	29919
442	13550	29884
443	13580	29852
444	13610	29820
445	13637	29783
446	13667	29751
447	13699	29722
448	13729	29691
449	13759	29660
450	13791	29631
451	13822	29601
452	13851	29567
453	13879	29533
454	13910	29502
455	13940	29471
456	13973	29445
457	14002	29411
458	14030	29376
459	14061	29344
460	14090	29312
461	14119	29277
462	14150	29248
463	14179	29214
464	14211	29186
465	14242	29156
466	14271	29122
467	14302	29094
468	14333	29063
469	14362	29030
470	14394	29002
471	14429	28981
472	14459	28948
473	14489	28918
474	14520	28888
475	14551	28857
476	14581	28826
477	14610	28792
478	14638	28756
479	14667	28723
480	14699	28696
481	14731	28667
482	14762	28638
483	14792	28607
484	14822	28575
485	14852	28544
486	14884	28515
487	14915	28486
488	14945	28454
489	14976	28424
490	15007	28394
491	15037	28363
492	15069	28334
493	15099	28303
494	15128	28271
495	15163	28247
496	15192	28214
497	15222	28183
498	15253	28153
499	15284	28123
500	15315	28094
501	15345	28061
502	15374	28028
503	15405	27998
504	15435	27967
505	15468	27941
506	15498	27909
507	15528	27878
508	15558	27847
509	15588	27814
510	15620	27787
511	15650	27755
512	15683	27729
513	15712	27696
514	15742	27664
515	15771	27630
516	15801	27599
517	15832	27569
518	15863	27539
519	15894	27510
520	15925	27479
521	15958	27452
522	15989	27423
523	16021	27394
524	16051	27364
525	16084	27338
526	16115	27308
527	16145	27275
528	16178	27249
529	16210	27222
530	16240	27190
531	16270	27158
532	16298	27123
533	16327	27089
534	16358	27060
535	16388	27029
536	16418	26997
537	16449	26967
538	16480	26936
539	16510	26905
540	16541	26875
541	16569	26841
542	16599	26810
543	16630	26779
544	16661	26750
545	16690	26716
546	16719	26683
547	16750	26653
548	16779	26621
549	16811	26592
550	16841	26561
551	16871	26530
552	16901	26498
553	16932	26468
554	16964	26440
555	16996	26412
556	17027	26381
557	17056	26348
558	17087	26319
559	17116	26286
560	17148	26257
561	17178	26225
562	17208	26195
563	17237	26161
564	17268	26131
565	17299	26101
566	17329	26070
567	17358	26037
568	17387	26005
569	17416	25972
570	17448	25944
571	17482	25917
572	17510	25883
573	17541	25854
574	17570	25821
575	17601	25790
576	17631	25759
577	17659	25725
578	17690	25695
579	17722	25666
580	17752	25636
581	17782	25604
582	17814	25576
583	17845	25545
584	17876	25515
585	17909	25489
586	17940	25458
587	17970	25428
588	18002	25398
589	18030	25364
590	18060	25334
591	18090	25302
592	18121	25271
593	18152	25242
594	18184	25214
595	18214	25181
596	18243	25149
597	18274	25119
598	18303	25087
599	18333	25055
600	18364	25025
601	18394	24994
602	18424	24963
603	18455	24933
604	18484	24900
605	18515	24870
606	18546	24840
607	18576	24809
608	18606	24777
609	18637	24748
610	18669	24719
611	18699	24688
612	18730	24657
613	18759	24625
614	18790	24595
615	18819	24562
616	18849	24532
617	18881	24502
618	18912	24472
619	18943	24443
620	18974	24413
621	19006	24384
622	19036	24353
623	19066	24322
624	19097	24291
625	19126	24259
626	19157	24229
627	19188	24199
628	19218	24168
629	19247	24136
630	19281	24108
631	19310	24076
632	19340	24045
633	19371	24015
634	19402	23985
635	19431	23953
636	19464	23925
637	19491	23891
638	19522	23860
639	19552	23829
640	19582	23797
641	19611	23766
642	19641	23734
643	19672	23704
644	19701	23672
645	19730	23639
646	19761	23609
647	19789	23576
648	19818	23543
649	19849	23513
650	19880	23484
651	19911	23453
652	19940	23421
653	19970	23390
654	20003	23362
655	20034	23332
656	20064	23301
657	20093	23269
658	20125	23240
659	20153	23207
660	20185	23178
661	20215	23146
662	20243	23113
663	20273	23082
664	20303	23050
665	20333	23020
666	20364	22990
667	20396	22961
668	20427	22931
669	20457	22900
670	20485	22867
671	20516	22836
672	20547	22807
673	20577	22775
674	20608	22745
675	20640	22716
676	20670	22685
677	20699	22653
678	20730	22623
679	20761	22593
680	20790	22561
681	20822	22532
682	20854	22503
683	20885	22473
684	20916	22443
685	20944	22410
686	20975	22380
687	21006	22350
688	21037	22319
689	21068	22289
690	21098	22258
691	21130	22229
692	21160	22198
693	21191	22169
694	21222	22138
695	21252	22107
696	21284	22078
697	21313	22046
698	21343	22015
699	21374	21985
700	21405	21954
701	21434	21923
702	21465	21892
703	21494	21860
704	21523	21828
705	21553	21797
706	21581	21764
707	21611	21733
708	21641	21703
709	21670	21670
710	21700	21639
711	21731	21609
712	21760	21577
713	21789	21544
714	21822	21517
715	21853	21486
716	21885	21458
717	21916	21427
718	21945	21395
719	21973	21363
720	22002	21330
721	22032	21299
722	22060	21266
723	22091	21237
724	22121	21206
725	22151	21174
726	22180	21143
727	22213	21114
728	22242	21083
729	22273	21053
730	22304	21022
731	22333	20991
732	22365	20962
733	22395	20931
734	22426	20900
735	22457	20871
736	22488	20840
737	22517	20808
738	22546	20777
739	22576	20745
740	22607	20715
741	22636	20683
742	22667	20653
743	22697	20622
744	22727	20592
745	22756	20560
746	22784	20527
747	22816	20498
748	22846	20467
749	22876	20436
750	22908	20406
751	22937	20375
752	22967	20344
753	22998	20313
754	23028	20283
755	23059	20253
756	23090	20223
757	23120	20192
758	23151	20162
759	23182	20132
760	23212	20101
761	23244	20071
762	23273	20040
763	23302	20008
764	23331	19976
765	23361	19945
766	23391	19914
767	23423	19885
768	23454	19855
769	23485	19825
770	23516	19794
771	23546	19764
772	23576	19733
773	23607	19703
774	23638	19672
775	23669	19643
776	23699	19612
777	23730	19582
778	23760	19551
779	23789	19519
780	23821	19490
781	23852	19460
782	23883	19429
783	23913	19399
784	23943	19368
785	23973	19337
786	24004	19306
787	24033	19275
788	24061	19243
789	24093	19213
790	24121	19181
791	24152	19150
792	24182	19120
793	24214	19090
794	24243	19059
795	24274	19028
796	24306	18999
797	24335	18968
798	24366	18938
799	24394	18905
800	24426	18876
801	24457	18846
802	24487	18815
803	24517	18784
804	24548	18754
805	24577	18722
806	24607	18692
807	24639	18662
808	24669	18631
809	24700	18601
810	24731	18571
811	24761	18540
812	24789	18507
813	24821	18478
814	24850	18447
815	24879	18416
816	24910	18385
817	24940	18354
818	24968	18322
819	25000	18292
820	25032	18263
821	25061	18232
822	25093	18202
823	25124	18172
824	25153	18140
825	25182	18109
826	25211	18077
827	25246	18050
828	25277	18020
829	25308	17990
830	25338	17959
831	25370	17929
832	25401	17899
833	25429	17867
834	25458	17836
835	25489	17806
836	25521	17776
837	25551	17745
838	25582	17715
839	25613	17685
840	25644	17655
841	25672	17623
842	25701	17591
843	25733	17562
844	25764	17532
845	25792	17500
846	25823	17470
847	25853	17439
848	25885	17409
849	25915	17378
850	25944	17347
851	25974	17316
852	26004	17285
853	26035	17255
854	26065	17224
855	26098	17195
856	26126	17163
857	26154	17131
858	26184	17100
859	26214	17070
860	26243	17038
861	26273	17007
862	26301	16975
863	26330	16943
864	26361	16913
865	26391	16883
866	26421	16852
867	26451	16821
868	26479	16789
869	26511	16759
870	26540	16728
871	26571	16698
872	26600	16667
873	26629	16636
874	26660	16605
875	26692	16575
876	26722	16545
877	26752	16514
878	26781	16483
879	26812	16453
880	26844	16423
881	26875	16393
882	26906	16363
883	26936	16332
884	26965	16301
885	26995	16270
886	27025	16239
887	27055	16208
888	27086	16178
889	27117	16148
890	27150	16119
891	27184	16091
892	27213	16060
893	27243	16029
894	27275	15999
895	27305	15968
896	27336	15938
897	27368	15908
898	27395	15876
899	27427	15846
900	27458	15817
901	27489	15786
902	27521	15756
903	27552	15726
904	27583	15696
905	27613	15665
906	27645	15636
907	27675	15605
908	27705	15574
909	27736	15544
910	27767	15514
911	27798	15484
912	27830	15454
913	27860	15424
914	27890	15393
915	27920	15362
916	27950	15331
917	27980	15300
918	28012	15271
919	28041	15239
920	28071	15209
921	28102	15179
922	28134	15149
923	28168	15120
924	28199	15090
925	28229	15059
926	28259	15029
927	28290	14998
928	28320	14967
929	28350	14937
930	28383	14907
931	28412	14877
932	28442	14846
933	28473	14815
934	28502	14784
935	28531	14753
936	28564	14724
937	28594	14693
938	28623	14662
939	28654	14632
940	28684	14601
941	28714	14570
942	28745	14540
943	28775	14509
944	28806	14479
945	28838	14449
946	28868	14418
947	28898	14388
948	28928	14357
949	28958	14327
950	28988	14296
951	29017	14264
952	29048	14234
953	29079	14204
954	29110	14174
955	29141	14143
956	29171	14113
957	29203	14083
958	29233	14052
959	29262	14021
960	29293	13991
961	29323	13960
